Date,return_1m,realized_growth_10y,trend_gap,price_to_trend,vol_12m,momentum_12m,drawdown_12m,wavelet_approx_energy,wavelet_detail_energy_1,wavelet_detail_energy_2,state,state_0_prob,state_1_prob,state_2_prob,regime_label
2012-05-01,-0.06265072571454366,0.020741862790724763,-0.039258137209275235,0.1201505086790009,0.17899936714466624,-0.025921793326568632,-0.06967845725489263,0.006076832642232049,0.0030468507278926036,0.002212179708962823,0,0.9999999997980922,3.2974327519461863e-12,1.984199353740615e-10,fragile_downturn
2012-06-01,0.03955498222833631,0.03244563048321125,-0.027554369516788746,0.15628236302445764,0.1822180991453678,0.03143931659703858,-0.03287960516497135,0.0041522439749284825,0.0021287698500878347,0.004094549581429417,1,2.0981867311884218e-07,0.9999997790387414,1.1142360868044315e-08,supportive_uptrend
2012-07-01,0.012597574204787909,0.042281711473909134,-0.017718288526090864,0.16535022602371363,0.18022897261946358,0.06735375848804659,-0.020696234226073362,0.005170851336460047,0.002973338718190946,0.0019083244514133413,0,0.9999998544312908,3.1665479245113423e-12,1.4556548049363393e-07,fragile_downturn
2012-08-01,0.019763369506085704,0.04381510208023731,-0.016184897919762686,0.1813473050182246,0.16655844619398613,0.1539843128999503,-0.0013418920443820648,0.011019527960759737,0.002057524983807244,0.0028987276307643308,1,1.785659329575831e-19,1.0,1.990633377156104e-23,supportive_uptrend
2012-09-01,0.024236153617775313,0.058585088641114336,-0.001414911358885662,0.20054999094624648,0.13853363150863118,0.27332908026061786,0.0,0.010942865962753184,0.0026368158725837343,0.0023781052681415642,1,9.301492672530697e-20,0.9999999999995453,2.373939647324617e-13,supportive_uptrend
2012-10-01,-0.01978940971629395,0.047747865471417184,-0.012252134528582814,0.17667523437394017,0.10649050486587465,0.12675335447413527,-0.01978940971629395,0.003452369438544958,0.002107091521955288,0.002714497206278223,2,1.3626849024266942e-05,5.8871150381589044e-08,0.9999863142797673,transition
2012-11-01,0.0028467166850427716,0.042245146184258564,-0.017754853815741434,0.17606980844166653,0.10552498667279164,0.13570611573302882,-0.016999027874077588,0.003488971150917394,0.002367898774320787,0.0013970796486862697,2,6.02880641919455e-09,3.711820072469604e-13,0.9999999939709596,transition
2012-12-01,0.007068230956284616,0.04949011781185386,-0.010509882188146136,0.17908780619716236,0.1055738790037604,0.1340569092662105,-0.010050949972839285,0.006066125046940978,0.001980091547986046,0.002471912835324716,2,1.4623148088897436e-06,3.5478035849201887e-06,0.9999949898818156,transition
2013-01-01,0.050428096466868855,0.057601884645146484,-0.002398115354853514,0.22361860051961369,0.10807298091184642,0.14149537593862238,0.0,0.002462989934357969,0.002311420024145201,0.002533318891018124,2,1.8379683498280725e-10,2.3944984037287352e-11,0.9999999997921805,transition
2013-02-01,0.011060648765041536,0.0605832024109465,0.0005832024109465039,0.22971694866445524,0.10334486441218564,0.10910315311051444,0.0,0.006210193713886587,0.001891217364305625,0.0011485384146098993,2,3.4687831883167146e-07,8.895258492577397e-09,0.9999996442261996,transition
2013-03-01,0.03598772398287298,0.0634540980905327,0.003454098090532709,0.2599453935315097,0.10453642597971909,0.11410961827101773,0.0,0.005246071572911683,0.0016695563184189717,0.001389007648523257,2,3.4652914374495535e-09,6.941003356000674e-11,0.9999999964652488,transition
2013-04-01,0.018085767779890016,0.05709214190761025,-0.002907858092389748,0.2732427363570906,0.10312824993338639,0.1428274404128862,0.0,0.002423489830324814,0.0019137996466361473,0.001174497248552907,2,1.3319373442400792e-14,7.582631371893062e-16,1.0,transition
2013-05-01,0.020762811683057825,0.05402094851324346,-0.005979051486756537,0.2894085783096516,0.06387717821143922,0.24452622234511057,0.0,0.00188207257532216,0.0015755662446260551,0.0019384342839125711,2,7.436959519598688e-16,2.1602807049088837e-15,1.0,transition
2013-06-01,-0.014999301595580827,0.05124499624619827,-0.008755003753801727,0.27013105183267694,0.06750051190769442,0.17921535575238057,-0.014999301595580827,0.00337123636396684,0.0018605141428902786,0.0010492660221467084,2,5.364039978052427e-14,6.221578728311997e-16,1.0,transition
2013-07-01,0.04946207991308538,0.054633797065103185,-0.005366202934896813,0.31397598031078555,0.07617208924934527,0.22214572841062474,0.0,0.002519056992607953,0.001629927703736238,0.0013596597642965686,2,8.188072976104853e-16,1.7607625157586488e-16,1.0,transition
2013-08-01,-0.031298019479343964,0.04942482932387038,-0.01057517067612962,0.27815752623234324,0.09005592701701493,0.16095069012886998,-0.031298019479343964,0.0015750115437627892,0.0020714505147372696,0.0010802456144324388,2,1.5535659520745613e-15,2.3566870610884865e-16,1.0,transition
2013-09-01,0.029749523259195332,0.05377127380006663,-0.006228726199933365,0.3031084993662887,0.0909823200558597,0.1671999816301839,-0.0024795973786161385,0.0012948066108582578,0.001683360242280834,0.0019141321886609317,2,6.924113184328505e-17,3.1452827907950045e-15,1.0,transition
2013-10-01,0.04459575276194472,0.05273126308097664,-0.007268736919023355,0.3424561379932287,0.08819122727116009,0.24386754797437682,0.0,0.0026012476566898437,0.001893389984044412,0.0010498854973102906,2,2.6670968809542873e-14,3.013117933217121e-16,1.0,transition
2013-11-01,0.028049471367328715,0.05489791284375767,-0.00510208715624233,0.36566576133571527,0.08685684862581665,0.27512744856265403,0.0,0.0019160998797785604,0.0015850597721117198,0.0013461903340640908,2,4.813577401343154e-15,2.4101593413748976e-15,1.0,transition
2013-12-01,0.023562791975445974,0.052134592867565166,-0.007865407132434832,0.3847201486410965,0.0855800383635945,0.2960124957332435,0.0,0.0016951869244374578,0.0018054044535649424,0.001336579122803835,2,6.956706398142111e-15,2.2480239210507405e-15,1.0,transition
2014-01-01,-0.035582905955811595,0.04653532806365357,-0.013464671936346428,0.3446983224786857,0.09700331216402726,0.18989258682632104,-0.035582905955811595,0.0021296370804224207,0.0016268200269048052,0.0019146750845129175,2,5.96530483149199e-12,1.940149864940679e-12,0.9999999999922693,transition
2014-02-01,0.0431170301781616,0.04968787031495636,-0.010312129685043636,0.38287062641676695,0.10082170625694954,0.22761895927543097,0.0,0.002349532958905907,0.0019389342115987585,0.0011416145341336655,2,1.6802315354111476e-14,5.505976407198649e-16,1.0,transition
2014-03-01,0.006932165418227054,0.0521472740600446,-0.007852725939955396,0.3855427832711369,0.09922256787772303,0.19318886542338576,0.0,0.002250678410013863,0.0017280940762762916,0.0008454519185344492,2,8.470919885792201e-17,7.303320364177966e-17,1.0,transition
2014-04-01,0.006200789153414155,0.05458212105848781,-0.005417878941512189,0.3872957104134942,0.09955712210002798,0.17925975982963016,0.0,0.00346767936892569,0.0017146372821427742,0.0010205343091850433,2,5.972072513645516e-13,1.536389501389787e-14,0.9999999999995453,transition
2014-05-01,0.02103028007328045,0.05551068506026158,-0.00448931493973842,0.403605847137146,0.09957667669730834,0.17956875885076018,0.0,0.0014088872727197443,0.0016500307165086417,0.0011255380014135923,2,2.271375547017407e-19,3.011653875722719e-17,1.0,transition
2014-06-01,0.019058331749470137,0.05562150739835148,-0.00437849260164852,0.417974035516405,0.09435628928560605,0.22035382667791192,0.0,0.0021315642947478024,0.0014814883723030731,0.0007098381399676798,2,2.2627163618933675e-18,1.3153151810124327e-17,1.0,transition
2014-07-01,-0.015079830845342368,0.057702872062024735,-0.002297127937975263,0.3981043933173707,0.09223770444669149,0.14530207465874945,-0.015079830845342368,0.0016166846341375799,0.0013974258742677124,0.0007673542826347131,2,4.5332577321604245e-21,2.6638692863726323e-18,1.0,transition
2014-08-01,0.037655295579825276,0.061377237385049854,0.0013772373850498565,0.4301040922802475,0.08242807306850852,0.22682598642923946,0.0,0.003390563076284351,0.001285450274013464,0.0010082192376433905,2,1.0568293940815629e-14,1.1599599531328239e-15,1.0,transition
2014-09-01,-0.015513837249453988,0.058731794023726414,-0.0012682059762735842,0.4097126752492093,0.08733605271713651,0.17289999214533758,-0.015513837249453988,0.0013639808495496287,0.0012220369048356505,0.0009848303359367518,2,4.72647851857735e-21,5.646855201921919e-18,1.0,transition
2014-10-01,0.023201460667203078,0.05968714229601457,-0.00031285770398542523,0.42781793109696853,0.08149649327995631,0.14887790995370542,0.0,0.0016384512013135019,0.0012212775427786343,0.0006462594069789586,2,3.6446234416530725e-25,6.98082825435069e-21,1.0,transition
2014-11-01,0.02453358864631494,0.05824363467545868,-0.0017563653245413202,0.447337855873001,0.08080871843285423,0.14494879943455086,0.0,0.0026911992016396824,0.0011232901503113637,0.0005895707664352633,2,3.2169093626339907e-22,6.045453104218142e-20,1.0,transition
2014-12-01,-0.004188587515997044,0.05442604920833438,-0.005573950791665616,0.4387240891765378,0.08108903300896961,0.11390633786748117,-0.004188587515997044,0.001154077246179229,0.0011542317700511413,0.0009664524140540895,2,5.4144223616488476e-27,1.3342443253674828e-20,1.0,transition
